DATE,CBBTCUSD,SP500
2017-07-21,2657.45,2472.54
2017-07-24,2762.26,2469.91
2017-07-25,2564.0,2477.13
2017-07-26,2525.99,2477.83
2017-07-27,2664.99,2475.42
2017-07-28,2786.07,2472.1
2017-07-31,2856.88,2470.3
2017-08-01,2732.59,2476.35
2017-08-02,2699.9,2477.57
2017-08-03,2787.02,2472.16
2017-08-04,2857.34,2476.83
2017-08-07,3398.23,2480.91
2017-08-08,3422.43,2474.92
2017-08-09,3342.8,2474.02
2017-08-10,3444.98,2438.21
2017-08-11,3656.15,2441.32
2017-08-14,4320.6,2465.84
2017-08-15,4159.93,2464.61
2017-08-16,4370.01,2468.11
2017-08-17,4280.01,2430.01
2017-08-18,4101.72,2425.55
2017-08-21,4002.0,2428.37
2017-08-22,4092.0,2452.51
2017-08-23,4143.49,2444.04
2017-08-24,4312.03,2438.97
2017-08-25,4360.0,2443.05
2017-08-28,4384.99,2444.24
2017-08-29,4599.0,2446.3
2017-08-30,4581.98,2457.59
2017-08-31,4743.94,2471.65
2017-09-01,4947.99,2476.55
2017-09-04,4498.25,2462.5251
2017-09-05,4432.51,2457.85
2017-09-06,4616.18,2465.54
2017-09-07,4624.18,2465.1
2017-09-08,4350.0,2461.43
2017-09-11,4210.72,2488.11
2017-09-12,4164.52,2496.48
2017-09-13,3855.32,2498.37
2017-09-14,3250.4,2495.62
2017-09-15,3740.02,2500.23
2017-09-18,4100.0,2503.87
2017-09-19,3910.11,2506.65
2017-09-20,3872.06,2508.24
2017-09-21,3617.47,2500.6
2017-09-22,3619.01,2502.22
2017-09-25,3919.78,2496.66
2017-09-26,3885.09,2496.84
2017-09-27,4200.0,2507.04
2017-09-28,4189.42,2510.06
2017-09-29,4156.99,2519.36
2017-10-02,4392.71,2529.12
2017-10-03,4307.99,2534.58
2017-10-04,4214.84,2537.74
2017-10-05,4320.04,2552.07
2017-10-06,4362.99,2549.33
2017-10-09,4769.55,2544.73
2017-10-10,4750.0,2550.64
2017-10-11,4814.99,2555.24
2017-10-12,5440.0,2550.93
2017-10-13,5624.8,2553.17
2017-10-16,5754.9,2557.64
2017-10-17,5594.0,2559.36
2017-10-18,5574.44,2561.26
2017-10-19,5704.01,2562.1
2017-10-20,5989.1,2575.21
2017-10-23,5905.99,2564.98
2017-10-24,5525.43,2569.13
2017-10-25,5739.97,2557.15
2017-10-26,5891.61,2560.4
2017-10-27,5780.0,2581.07
2017-10-30,6124.16,2572.83
2017-10-31,6445.01,2575.26
2017-11-01,6783.69,2579.36
2017-11-02,7039.98,2579.85
2017-11-03,7170.01,2587.84
2017-11-06,6969.76,2591.13
2017-11-07,7126.63,2590.64
2017-11-08,7467.96,2594.38
2017-11-09,7156.0,2584.62
2017-11-10,6577.62,2582.3
2017-11-13,6535.87,2584.84
2017-11-14,6605.0,2578.87
2017-11-15,7294.0,2564.62
2017-11-16,7838.53,2585.64
2017-11-17,7714.71,2578.85
2017-11-20,8256.01,2582.14
2017-11-21,8109.0,2599.03
2017-11-22,8250.0,2597.08
2017-11-23,8031.16,2599.75
2017-11-24,8215.01,2602.42
2017-11-27,9768.71,2601.42
2017-11-28,9949.0,2627.04
2017-11-29,9935.98,2626.07
2017-11-30,9903.0,2647.58
2017-12-01,10869.84,2642.22
2017-12-04,11643.98,2639.44
2017-12-05,11718.35,2629.57
2017-12-06,14090.0,2629.27
2017-12-07,17390.01,2636.98
2017-12-08,16367.03,2651.5
2017-12-11,16885.76,2659.99
2017-12-12,17730.12,2664.11
2017-12-13,16689.61,2662.85
2017-12-14,16749.78,2652.01
2017-12-15,17738.67,2675.81
2017-12-18,19039.01,2690.16
2017-12-19,17838.73,2681.47
2017-12-20,16496.89,2679.25
2017-12-21,15758.8,2684.57
2017-12-22,14210.57,2683.34
2017-12-25,14171.98,2681.21
2017-12-26,15790.88,2680.5
2017-12-27,15367.08,2682.62
2017-12-28,14450.01,2687.54
2017-12-29,14565.05,2673.61
2018-01-01,13480.01,2690.26
2018-01-02,14781.51,2695.81
2018-01-03,15098.14,2713.06
2018-01-04,15144.99,2723.99
2018-01-05,16960.01,2743.15
2018-01-08,14993.74,2747.71
2018-01-09,14480.99,2751.29
2018-01-10,14875.18,2748.23
2018-01-11,13308.06,2767.56
2018-01-12,13820.0,2786.24
2018-01-15,13590.0,2778.875
2018-01-16,11570.01,2776.42
2018-01-17,11200.01,2802.56
2018-01-18,11305.53,2798.03
2018-01-19,11498.99,2810.3
2018-01-22,10766.7,2832.97
2018-01-23,10824.94,2839.13
2018-01-24,11356.79,2837.54
2018-01-25,11118.0,2839.25
2018-01-26,11086.89,2872.87
2018-01-29,11123.01,2853.53
2018-01-30,9995.0,2822.43
2018-01-31,10099.99,2823.81
2018-02-01,9014.23,2821.98
2018-02-02,8787.52,2762.13
2018-02-05,6905.19,2648.94
2018-02-06,7688.46,2695.14
2018-02-07,7575.75,2681.66
2018-02-08,8218.1,2581.0
2018-02-09,8671.01,2619.55
2018-02-12,8872.28,2656.0
2018-02-13,8520.01,2662.94
2018-02-14,9472.98,2698.63
2018-02-15,10031.23,2731.2
2018-02-16,10167.49,2732.22
2018-02-19,11140.0,2720.25
2018-02-20,11235.57,2716.26
2018-02-21,10454.27,2701.33
2018-02-22,9830.0,2703.96
2018-02-23,10144.99,2747.3
2018-02-26,10300.0,2779.6
2018-02-27,10566.57,2744.28
2018-02-28,10307.27,2713.83
2018-03-01,10895.92,2677.67
2018-03-02,11000.0,2691.25
2018-03-05,11377.54,2720.94
2018-03-06,10700.0,2728.12
2018-03-07,9920.0,2726.8
2018-03-08,9304.9,2738.97
2018-03-09,9255.0,2786.57
2018-03-12,9120.0,2783.02
2018-03-13,9145.41,2765.31
2018-03-14,8207.03,2749.48
2018-03-15,8259.99,2747.33
2018-03-16,8275.0,2752.01
2018-03-19,8589.0,2712.92
2018-03-20,8900.0,2716.94
2018-03-21,8891.81,2711.93
2018-03-22,8715.09,2643.69
2018-03-23,8927.1,2588.26
2018-03-26,8145.0,2658.55
2018-03-27,7793.61,2612.62
2018-03-28,7942.72,2605.0
2018-03-29,7079.99,2640.87
2018-03-30,6848.01,2626.1226
2018-04-02,7045.01,2581.88
2018-04-03,7424.9,2614.45
2018-04-04,6791.68,2644.69
2018-04-05,6785.85,2662.84
2018-04-06,6619.01,2604.47
2018-04-09,6771.13,2613.16
2018-04-10,6824.99,2656.87
2018-04-11,6942.99,2642.19
2018-04-12,7916.0,2663.99
2018-04-13,7893.19,2656.3
2018-04-16,8048.93,2677.84
2018-04-17,7892.1,2706.39
2018-04-18,8152.05,2708.64
2018-04-19,8274.0,2693.13
2018-04-20,8866.27,2670.14
2018-04-23,8931.3,2670.29
2018-04-24,9650.0,2634.56
2018-04-25,8865.98,2639.4
2018-04-26,9272.11,2666.94
2018-04-27,8922.55,2669.91
2018-04-30,9243.82,2648.05
2018-05-01,9072.29,2654.8
2018-05-02,9190.48,2635.67
2018-05-03,9725.74,2629.73
2018-05-04,9685.0,2663.42
2018-05-07,9356.25,2672.63
2018-05-08,9177.81,2671.92
2018-05-09,9300.08,2697.79
2018-05-10,9010.51,2723.07
2018-05-11,8403.33,2727.72
2018-05-14,8670.0,2730.13
2018-05-15,8477.46,2711.45
2018-05-16,8344.0,2722.46
2018-05-17,8059.0,2720.13
2018-05-18,8238.51,2712.97
2018-05-21,8393.44,2733.01
2018-05-22,7987.7,2724.44
2018-05-23,7505.0,2733.29
2018-05-24,7584.15,2727.76
2018-05-25,7459.11,2721.33
2018-05-28,7107.94,2697.7275
2018-05-29,7460.0,2689.86
2018-05-30,7380.01,2724.01
2018-05-31,7485.0,2705.27
2018-06-01,7514.32,2734.62
